Item_Fat_Content	Item_Identifier	Item_Type	Outlet_Establishment_Year	Outlet_Identifier	Outlet_Location_Type	Outlet_Size	Outlet_Type	Item_Visibility	Item_Weight	Sales	Rating
Low Fat	NCB42	Health and Hygiene	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.00859605	11.8	115.349	5
Low Fat	DRI25	Soft Drinks	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0339702	19.6	55.1614	5
low fat	FDS52	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	0.00550548	8.89	102.402	5
Low Fat	NCU05	Health and Hygiene	2011	OUT010	Tier 3	Small	Grocery Store	0.0983124	11.8	81.4618	5
Low Fat	NCD30	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0269037	19.7	96.0726	5
Low Fat	FDW20	Fruits and Vegetables	2014	OUT013	Tier 3	High	Supermarket Type1	0.0241293	20.75	124.173	5
Low Fat	FDX25	Canned	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.101562	NULL	181.929	5
Low Fat	NCU41	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	0.052045	18.85	192.185	5
Low Fat	FDL20	Fruits and Vegetables	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.128938	17.1	112.389	5
Low Fat	NCR54	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0904868	16.35	195.211	5
Low Fat	FDH19	Meat	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0329282	NULL	173.174	5
Low Fat	FDO23	Breads	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.147024	17.85	93.7436	5
Low Fat	NCB07	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0776281	19.2	197.611	5
Low Fat	FDJ56	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.182515	NULL	98.77	5
Low Fat	DRN47	Hard Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0168953	12.1	178.566	5
Low Fat	NCK31	Others	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0269168	NULL	50.9666	5
Low Fat	FDJ41	Frozen Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0229765	6.85	261.659	5
Low Fat	DRI51	Dairy	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0424137	17.25	173.176	5
Low Fat	FDB53	Frozen Foods	2020	OUT017	Tier 2	Medium	Supermarket Type1	0.140241	13.35	150.239	5
Low Fat	FDA16	Frozen Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0339356	6.695	221.946	5
Low Fat	FDO04	Frozen Foods	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0265372	16.6	57.2614	5
Low Fat	NCJ30	Household	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0806405	5.82	167.779	5
Low Fat	NCQ41	Health and Hygiene	2014	OUT013	Tier 3	High	Supermarket Type1	0.0194642	14.8	196.379	5
Low Fat	DRJ35	Hard Drinks	2014	OUT013	Tier 3	High	Supermarket Type1	0.0465458	10.1	59.9878	5
Low Fat	NCE31	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.18469	7.67	35.4216	5
Low Fat	FDY09	Snack Foods	2020	OUT017	Tier 2	Medium	Supermarket Type1	0.0253427	15.6	174.305	5
low fat	FDZ04	Frozen Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.0379235	9.31	61.651	5
Low Fat	FDY07	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.121848	11.8	46.8402	5
Low Fat	FDB09	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0574853	16.25	126.205	5
Low Fat	DRL11	Hard Drinks	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0481155	10.5	159.095	5
Low Fat	FDT34	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.174621	9.3	104.296	5
Low Fat	NCJ31	Others	2014	OUT013	Tier 3	High	Supermarket Type1	0.182502	19.2	239.22	5
Low Fat	NCL30	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0489312	18.1	127.334	5
Low Fat	FDG24	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0146539	7.975	82.425	5
Low Fat	FDV49	Canned	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0258674	10	264.623	5
Low Fat	FDX01	Canned	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0242019	10.1	114.915	5
Low Fat	DRF27	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0284615	8.93	152.234	5
Low Fat	FDF16	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0862663	7.3	147.208	5
Low Fat	FDU04	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.00555706	7.93	122.141	5
Low Fat	FDP04	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0138342	15.35	62.7168	5
Low Fat	FDD05	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0166373	19.35	120.91	5
Low Fat	FDV07	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0313316	9.5	111.123	5
Low Fat	FDT20	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0414598	10.5	39.2164	5
Low Fat	FDC44	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	0	15.6	111.952	5
Low Fat	DRM59	Hard Drinks	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.00359768	5.88	153.9	5
Low Fat	DRG23	Hard Drinks	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0869161	8.88	153.368	5
Low Fat	NCJ29	Health and Hygiene	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0352476	10.6	84.7224	5
Low Fat	NCM42	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0283655	6.13	110.091	5
Low Fat	NCY42	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0151861	6.38	144.947	5
Low Fat	NCX54	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0481346	9.195	107.762	5
Low Fat	NCI06	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0477919	11.3	180.766	5
Low Fat	NCQ02	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.00746806	12.6	186.956	5
Low Fat	NCR38	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.113695	17.25	253.472	5
Low Fat	NCM30	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0674	19.1	41.9796	5
Low Fat	FDK43	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0268825	9.8	126.302	5
Low Fat	FDK21	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0100279	7.905	249.641	5
Low Fat	FDR45	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0289883	10.8	239.222	5
Low Fat	FDV09	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.0206006	12.1	147.573	5
low fat	NCA53	Health and Hygiene	2012	OUT049	Tier 1	Medium	Supermarket Type1	0.00989382	11.395	50.3034	5
Low Fat	FDK02	Canned	2018	OUT019	Tier 1	Small	Grocery Store	0.196491	NULL	120.544	5
Low Fat	FDI15	Dairy	2018	OUT019	Tier 1	Small	Grocery Store	0.24749	NULL	263.188	5
Low Fat	FDE09	Fruits and Vegetables	2018	OUT019	Tier 1	Small	Grocery Store	0.0378247	NULL	109.723	5
Low Fat	FDS55	Fruits and Vegetables	2018	OUT019	Tier 1	Small	Grocery Store	0.142108	NULL	150.373	5
Low Fat	FDZ56	Fruits and Vegetables	2018	OUT019	Tier 1	Small	Grocery Store	0.0450621	NULL	167.547	5
Low Fat	NCA05	Health and Hygiene	2018	OUT019	Tier 1	Small	Grocery Store	0.0440005	NULL	148.273	5
Low Fat	NCK29	Health and Hygiene	2018	OUT019	Tier 1	Small	Grocery Store	0	NULL	123.473	5
Low Fat	NCU29	Health and Hygiene	2018	OUT019	Tier 1	Small	Grocery Store	0.0446077	NULL	145.976	5
Low Fat	NCX41	Health and Hygiene	2018	OUT019	Tier 1	Small	Grocery Store	0.0310242	NULL	210.524	5
Low Fat	NCG07	Household	2018	OUT019	Tier 1	Small	Grocery Store	0.0919243	NULL	189.753	5
Low Fat	NCI30	Household	2018	OUT019	Tier 1	Small	Grocery Store	0.103188	NULL	244.346	5
Low Fat	NCR54	Household	2018	OUT019	Tier 1	Small	Grocery Store	0.158563	NULL	194.711	5
Low Fat	NCT06	Household	2018	OUT019	Tier 1	Small	Grocery Store	0.0678245	NULL	167.784	5
Low Fat	FDN15	Meat	2018	OUT019	Tier 1	Small	Grocery Store	0.0292992	NULL	140.318	5
Low Fat	FDJ45	Seafood	2018	OUT019	Tier 1	Small	Grocery Store	0.128533	NULL	34.2216	5
Low Fat	FDP24	Baking Goods	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0830041	20.6	119.476	5
Low Fat	FDH38	Canned	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0104382	6.425	115.881	5
Low Fat	FDT49	Canned	2016	OUT046	Tier 1	Small	Supermarket Type1	0.151406	7	107.728	5
Low Fat	FDN02	Canned	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0738278	16.5	208.864	5
Low Fat	DRF27	Dairy	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0284173	8.93	154.534	5
Low Fat	FDT02	Dairy	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0241947	12.6	36.1874	5
Low Fat	FDF05	Frozen Foods	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0268709	17.5	264.491	5
Low Fat	FDI45	Fruits and Vegetables	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0375812	13.1	175.505	5
Low Fat	FDZ20	Fruits and Vegetables	2016	OUT046	Tier 1	Small	Supermarket Type1	0.034307	16.1	252.336	5
Low Fat	NCC42	Health and Hygiene	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0449084	15	140.284	5
Low Fat	NCQ53	Health and Hygiene	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0189053	17.6	234.659	5
Low Fat	NCR54	Household	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0905622	16.35	198.211	5
Low Fat	NCX06	Household	2016	OUT046	Tier 1	Small	Supermarket Type1	0.015687	17.6	182.698	5
Low Fat	NCO06	Household	2016	OUT046	Tier 1	Small	Supermarket Type1	0.10803	19.25	32.4558	5
Low Fat	NCN54	Household	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0213265	20.35	76.1328	5
Low Fat	FDL27	Meat	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0106309	6.17	65.9826	5
Low Fat	FDV51	Meat	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0325389	16.35	165.784	5
Low Fat	FDC46	Snack Foods	2016	OUT046	Tier 1	Small	Supermarket Type1	0.116542	17.7	182.627	5
Low Fat	FDZ58	Snack Foods	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0521769	17.85	122.807	5
Low Fat	FDN21	Snack Foods	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0768556	18.6	161.024	5
Low Fat	FDO58	Snack Foods	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0395772	19.6	166.153	5
Low Fat	DRD24	Soft Drinks	2016	OUT046	Tier 1	Small	Supermarket Type1	0.0307951	13.85	143.315	5
Low Fat	DRI37	Soft Drinks	2016	OUT046	Tier 1	Small	Supermarket Type1	0.107598	15.85	58.7904	5
Low Fat	FDT60	Baking Goods	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0757015	12	124.639	5
Low Fat	FDN24	Baking Goods	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.113497	14.1	56.1956	5
Low Fat	FDO37	Breakfast	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.02142	8.06	232.033	5
Low Fat	FDI14	Canned	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0898596	14.1	140.25	5
Low Fat	FDW37	Canned	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.124302	19.2	89.7488	5
Low Fat	DRC27	Dairy	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0582203	13.8	247.48	5
Low Fat	FDK16	Frozen Foods	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.115564	9.065	96.0094	5
Low Fat	FDK41	Frozen Foods	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.1278	14.3	83.6224	5
Low Fat	FDY31	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0436512	5.98	146.142	5
Low Fat	FDT20	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0414794	10.5	36.8164	5
Low Fat	FDI45	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0376575	13.1	175.805	5
Low Fat	FDG57	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.072445	14.7	48.6034	5
Low Fat	FDN32	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0155919	17.5	184.827	5
Low Fat	FDX19	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.09693	19.1	233.896	5
Low Fat	FDP20	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0457619	19.85	125.602	5
Low Fat	NCR17	Health and Hygiene	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0244328	9.8	116.449	5
Low Fat	NCT17	Health and Hygiene	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0419508	10.8	190.021	5
Low Fat	NCU05	Health and Hygiene	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0588554	11.8	79.1618	5
Low Fat	NCT42	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0249378	5.88	148.439	5
Low Fat	NCV18	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	0.105459	6.775	84.625	5
Low Fat	NCH43	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	0.070712	8.42	216.419	5
Low Fat	NCE18	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0214688	10	251.675	5
Low Fat	NCC18	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	0.17763	19.1	173.942	5
